month_date,budget_mrr,actual_mrr,total_variance,volume_effect,price_effect,reconciliation_check
2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,0.0,0.0,0.0,-0.0,0.0,0.0
2027-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,0.0,0.0,0.0,-0.0,0.0,0.0
2027-08-01,0.0,0.0,0.0,-0.0,0.0,0.0
2027-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,0.0,0.0,0.0,-0.0,0.0,0.0
2027-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2027-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2028-01-01,4333.33,4893.94,560.6099999999997,-231.5519847328244,792.1619847328242,0.0
2028-02-01,4333.33,3838.99,-494.34000000000015,600.4011445783132,-1094.741144578313,0.0
2028-03-01,4333.33,3835.57,-497.75999999999976,-280.2651243781094,-217.4948756218904,-0.0
2028-04-01,10833.33,9493.39,-1339.9400000000005,553.1913191489361,-1893.1313191489369,-0.0
2028-05-01,10833.33,11375.0,541.6700000000001,-805.4520446096654,1347.1220446096645,-0.0
2028-06-01,10833.33,10291.67,-541.6599999999999,1430.1425742574258,-1971.8025742574262,-0.0
2028-07-01,21666.67,23449.76,1783.0900000000001,-2189.7166489361703,3972.8066489361677,-0.0
2028-08-01,21666.67,22779.67,1113.0,-2943.5787750556788,4056.5787750556797,0.0
2028-09-01,21666.67,20583.33,-1083.3399999999965,-1079.1827969348658,-4.157203065130602,0.0
2028-10-01,21666.67,24256.05,2589.380000000001,3204.482285714286,-615.1022857142857,-0.0
2028-11-01,21666.67,23373.13,1706.4600000000028,2529.9405089820357,-823.4805089820319,0.0
2028-12-01,21666.67,20175.14,-1491.5299999999988,1608.1873819163293,-3099.7173819163304,-0.0
2029-01-01,63833.33,60641.67,-3191.6600000000035,7509.803529411764,-10701.463529411767,0.0
2029-02-01,63833.33,60279.86,-3553.470000000001,7519.781124889282,-11073.251124889279,0.0
2029-03-01,63833.33,57276.6,-6556.730000000003,3184.4291609977327,-9741.15916099774,-0.0
2029-04-01,65333.33,58429.89,-6903.440000000002,-3617.666262359921,-3285.7737376400787,0.0
2029-05-01,65333.33,73881.43,8548.099999999991,5345.801402688486,3202.298597311513,0.0
2029-06-01,65333.33,62066.67,-3266.6600000000035,3258.0925721784774,-6524.752572178479,0.0
2029-07-01,139333.33,132366.67,-6966.659999999974,-6951.011069662921,-15.64893033704692,0.0
2029-08-01,139333.33,148934.2,9600.870000000024,-16971.839803536346,26572.709803536367,-0.0
2029-09-01,139333.33,146300.0,6966.670000000013,10310.180090750435,-3343.510090750427,-0.0
2029-10-01,139333.33,157563.98,18230.650000000023,-9930.507350078491,28161.157350078523,0.0
2029-11-01,139333.33,151049.94,11716.610000000015,18246.50455634807,-6529.894556348046,0.0
2029-12-01,139333.33,132366.67,-6966.659999999974,-10818.823270588235,3852.1632705882644,0.0
